         24868 function calls (23568 primitive calls) in 0.131 seconds

   Ordered by: internal time, cumulative time
   List reduced from 1229 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.002    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/connection.py:368(_handle_result)
       67    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/catch23.py:86(struct_unpack)
      108    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/lock.py:205(__init__)
       15    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/orm/state.py:77(__init__)
        2    0.000    0.000    0.003    0.001 /Users/jim.chung/opt/product_search/product_search_app/utils/infralog.py:102(Write)
      918    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
    75/59    0.000    0.000    0.002    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/util/langhelpers.py:761(__get__)
     18/4    0.000    0.000    0.003    0.001 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy.py:306(_reconstruct)
        6    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/elements.py:674(__getattr__)
       26    0.000    0.000    0.002    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/network.py:127(send_plain)
      364    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:206(match)
       13    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/bin/../lib/python2.7/abc.py:86(__new__)
       35    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/werkzeug/local.py:68(__getattr__)
        7    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/protocol.py:309(read_text_result)
       26    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/network.py:53(_prepare_packets)
       15    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/conversion.py:500(_DATETIME_to_python)
       30    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
       92    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        9    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/weakref.py:297(__init__)
       42    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/bin/../lib/python2.7/abc.py:128(__instancecheck__)
       20    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_compile.py:411(_mk_bitmap)
       38    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:268(_escape)
       66    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/conversion.py:550(_STRING_to_python)
       18    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
    19/16    0.000    0.000    0.001    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy.py:234(_deepcopy_tuple)
       14    0.000    0.000    0.002    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/event/base.py:74(__init__)
       15    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/orm/loading.py:366(_instance)
       36    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_compile.py:228(_compile_charset)
       32    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/connection.py:301(_handle_server_status)
    67/38    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/util/langhelpers.py:830(__getattr__)
       28    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/hub.py:821(__init__)
       27    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/hub.py:857(switch)
       87    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/event/base.py:83(<genexpr>)
       14    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/protocol.py:236(parse_column)
      105    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:92(__init__)
       49    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/connection.py:1054(handle_unread_result)
       10    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/compiler.py:1412(_label_select_column)
       28    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/_socket2.py:336(__send_chunk)
        7    0.000    0.000    0.018    0.003 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/cursor.py:497(execute)
        1    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.008    0.008 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/cursor.py:25(<module>)
  146/138    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.005    0.005 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/authentication.py:24(<module>)
       84    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/utils.py:167(read_lc_string)
    29/22    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/bin/../lib/python2.7/abc.py:148(__subclasscheck__)
      189    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/weakref.py:329(__getitem__)
       11    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_compile.py:433(_compile_info)
      107    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/builtins.py:62(cb)
       31    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/werkzeug/local.py:160(top)
       55    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       80    0.000    0.000    0.000    0.000 {_struct.pack}
       76    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/_socket2.py:307(recv_into)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/network.py:25(<module>)
       37    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/bin/../lib/python2.7/abc.py:89(<genexpr>)
      223    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:137(__len__)
     16/1    0.000    0.000    0.002    0.002 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:50(__init__)
       43    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/utils.py:296(read_lc_int)
      105    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/bin/../lib/python2.7/_weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/errorcode.py:27(<module>)
      2/1    0.000    0.000    0.125    0.125 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/flask/app.py:1958(wsgi_app)
        7    0.000    0.000    0.037    0.005 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/connection.py:785(cursor)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/conversion.py:25(<module>)
